source,destination,star rating,rating,offer type,price,date
ITAKA,Hiszpania,0,4.3,19.07 - 26.07.2025 (8 dni)Warszawa-Radom 07:152 posiłki,2 299 zł,19.07-26.07.2025(8 dni)
ITAKA,Turcja,0,3.1,21.07 - 28.07.2025 (8 dni)Katowice 19:00Wyżywienie zgodnie z programem,2 149 zł,21.07-28.07.2025(8 dni)
ITAKA,"Turcja,Alanya",5,5.5,1.08 - 6.08.2025 (6 dni)Wrocław 02:05All inclusive 24h,3 649 zł,1.08-6.08.2025(6 dni)
ITAKA,"Portugalia,Algarve",4,5.3,24.07 - 31.07.2025 (8 dni)Katowice 07:452 posiłki,4 399 zł,24.07-31.07.2025(8 dni)
ITAKA,"Włochy,Kalabria",4,4.2,16.07 - 24.07.2025 (8 dni)Katowice 20:55Full board plus,2 999 zł,16.07-24.07.2025(8 dni)
ITAKA,Australia,0,5.6,1.09 - 17.09.2025 (16 dni)Warszawa-Okęcie 09:30Śniadania,22 899 zł,1.09-17.09.2025(16 dni)
ITAKA,"Wyspy Zielonego Przylądka,Sal",5,5.7,21.07 - 29.07.2025 (8 dni)Katowice 06:00All inclusive 24h,6 899 zł,21.07-29.07.2025(8 dni)
ITAKA,Norwegia,0,5.5,31.08 - 5.09.2025 (6 dni)Warszawa-Okęcie 07:55Śniadania,5 399 zł,31.08-5.09.2025(6 dni)
ITAKA,"Hiszpania,Costa Brava",4,4.8,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 05:352 posiłki,3 089 zł,27.08-3.09.2025(8 dni)
ITAKA,"Portugalia,Algarve",4,5.5,17.07 - 24.07.2025 (8 dni)Katowice 07:45Śniadania,2 599 zł,17.07-24.07.2025(8 dni)
ITAKA,"Grecja,Lesbos",3,4.9,21.07 - 29.07.2025 (8 dni)Katowice 19:45Śniadania,2 399 zł,21.07-29.07.2025(8 dni)
ITAKA,Malediwy,0,5.5,23.07 - 1.08.2025 (9 dni)Warszawa-Okęcie 15:103 posiłki,6 299 zł,23.07-1.08.2025(9 dni)
ITAKA,"Turcja,Kusadasi",0,5.2,29.07 - 5.08.2025 (8 dni)Warszawa-Okęcie 06:45Wyżywienie zgodnie z programem,4 069 zł,29.07-5.08.2025(8 dni)
ITAKA,"Albania,Wlora",5,5.5,3.08 - 10.08.2025 (8 dni)Warszawa-Okęcie 08:15All inclusive,3 919 zł,3.08-10.08.2025(8 dni)
ITAKA,"Włochy,Sycylia",4,4.3,20.07 - 27.07.2025 (8 dni)Kraków 15:10All inclusive soft,2 799 zł,20.07-27.07.2025(8 dni)
ITAKA,"Wyspy Kanaryjskie,La Palma",4,5.5,16.07 - 23.07.2025 (8 dni)Katowice 07:00All inclusive,4 399 zł,16.07-23.07.2025(8 dni)
ITAKA,"Włochy,Kalabria",3,4.7,23.07 - 30.07.2025 (8 dni)Katowice 02:302 posiłki,2 599 zł,23.07-30.07.2025(8 dni)
ITAKA,"Egipt,Marsa Alam",5,5.5,15.07 - 22.07.2025 (8 dni)Wrocław 16:25All inclusive,3 199 zł,15.07-22.07.2025(8 dni)
ITAKA,Madera,4,4.7,22.07 - 29.07.2025 (8 dni)Wrocław 08:452 posiłki,4 199 zł,22.07-29.07.2025(8 dni)
ITAKA,Włochy,0,5.1,28.07 - 4.08.2025 (8 dni)Warszawa-Okęcie 20:252 posiłki,3 339 zł,28.07-4.08.2025(8 dni)
ITAKA,"Grecja,Korfu",3,4.9,23.07 - 26.07.2025 (4 dni)Wrocław 15:15All inclusive,2 649 zł,23.07-26.07.2025(4 dni)
ITAKA,Włochy,0,5.0,27.07 - 4.08.2025 (8 dni)Wrocław 19:152 posiłki,3 699 zł,27.07-4.08.2025(8 dni)
ITAKA,Malta,0,5.1,19.07 - 26.07.2025 (8 dni)Katowice 15:50Śniadania,3 469 zł,19.07-26.07.2025(8 dni)
ITAKA,Portugalia,0,4.5,7.08 - 14.08.2025 (8 dni)Warszawa-Okęcie 07:352 posiłki,3 879 zł,7.08-14.08.2025(8 dni)
ITAKA,"Hiszpania,Costa del Sol",4,4.8,21.07 - 29.07.2025 (8 dni)Katowice 19:002 posiłki,2 999 zł,21.07-29.07.2025(8 dni)
ITAKA,"Hiszpania,Majorka",4,4.9,20.07 - 27.07.2025 (8 dni)Gdańsk 09:352 posiłki,4 099 zł,20.07-27.07.2025(8 dni)
ITAKA,"Turcja,Side",5,4.9,18.07 - 23.07.2025 (6 dni)Katowice 19:45All inclusive,3 270 zł,18.07-23.07.2025(6 dni)
ITAKA,"Bułgaria,Sozopol",4,4.8,28.07 - 31.07.2025 (4 dni)Gdańsk 05:45All inclusive,2 449 zł,28.07-31.07.2025(4 dni)
ITAKA,"Turcja,Oludeniz – Fethiye",4,4.9,18.07 - 25.07.2025 (8 dni)Katowice 00:01All inclusive 24h,3 899 zł,18.07-25.07.2025(8 dni)
ITAKA,"Grecja,Korfu",4,5.3,19.07 - 27.07.2025 (8 dni)Katowice 21:00All inclusive,5 449 zł,19.07-27.07.2025(8 dni)
ITAKA,"Egipt,Hurghada",5,5.2,17.07 - 24.07.2025 (8 dni)Gdańsk 21:05All inclusive,2 799 zł,17.07-24.07.2025(8 dni)
ITAKA,"Grecja,Kos",3,5.0,19.07 - 27.07.2025 (8 dni)Warszawa-Okęcie 21:30All inclusive,3 299 zł,19.07-27.07.2025(8 dni)
ITAKA,"Egipt,Hurghada",5,5.1,17.07 - 24.07.2025 (8 dni)Gdańsk 21:05All inclusive ultra,3 399 zł,17.07-24.07.2025(8 dni)
ITAKA,Czarnogóra,4,5.3,31.07 - 7.08.2025 (8 dni)Katowice 14:15All inclusive,5 549 zł,31.07-7.08.2025(8 dni)
ITAKA,"Bułgaria,Złote Piaski",4,4.9,29.07 - 1.08.2025 (4 dni)Warszawa-Okęcie 06:05All inclusive ultra,2 599 zł,29.07-1.08.2025(4 dni)
ITAKA,"Turcja,Side",5,5.3,18.07 - 24.07.2025 (6 dni)Katowice 19:45All inclusive ultra 24h,3 713 zł,18.07-24.07.2025(6 dni)
ITAKA,"Grecja,Zakynthos",3,4.2,29.08 - 5.09.2025 (8 dni)Katowice 04:35All inclusive,2 899 zł,29.08-5.09.2025(8 dni)
ITAKA,"Grecja,Kos",4,4.9,22.07 - 27.07.2025 (5 dni)Warszawa-Okęcie 13:30All inclusive,3 399 zł,22.07-27.07.2025(5 dni)
ITAKA,"Włochy,Sycylia",4,4.3,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:402 posiłki,2 999 zł,27.08-3.09.2025(8 dni)
ITAKA,"Turcja,Kemer",3,4.2,18.07 - 23.07.2025 (6 dni)Katowice 19:45All inclusive,2 499 zł,18.07-23.07.2025(6 dni)
ITAKA,"Turcja,Kemer",4,5.4,1.08 - 6.08.2025 (6 dni)Wrocław 02:05All inclusive,3 359 zł,1.08-6.08.2025(6 dni)
ITAKA,"Turcja,Side",5,5.0,17.07 - 21.07.2025 (5 dni)Kraków 18:10All inclusive ultra 24h,2 599 zł,17.07-21.07.2025(5 dni)
ITAKA,"Albania,Durres",4,4.8,17.07 - 20.07.2025 (4 dni)Katowice 16:00All inclusive,2 592 zł,17.07-20.07.2025(4 dni)
ITAKA,"Albania,Durres",4,5.5,20.07 - 27.07.2025 (8 dni)Gdańsk 00:35All inclusive,3 999 zł,20.07-27.07.2025(8 dni)
ITAKA,"Wyspy Kanaryjskie,Gran Canaria",4,5.0,22.07 - 29.07.2025 (8 dni)Wrocław 08:20All inclusive 24h,4 999 zł,22.07-29.07.2025(8 dni)
ITAKA,Madagaskar,5,5.8,24.08 - 1.09.2025 (8 dni)Poznań 19:25All inclusive,8 999 zł,24.08-1.09.2025(8 dni)
ITAKA,"Albania,Durres",4,4.1,31.07 - 3.08.2025 (4 dni)Kraków 13:10All inclusive,2 669 zł,31.07-3.08.2025(4 dni)
ITAKA,"Bułgaria,Pomorie",4,5.1,22.07 - 25.07.2025 (4 dni)Warszawa-Okęcie 17:20All inclusive ultra,2 199 zł,22.07-25.07.2025(4 dni)
ITAKA,"Albania,Wlora",5,5.5,3.08 - 10.08.2025 (8 dni)Warszawa-Okęcie 08:15All inclusive,3 919 zł,3.08-10.08.2025(8 dni)
ITAKA,"Grecja,Zakynthos",4,5.3,20.07 - 27.07.2025 (8 dni)Katowice 04:30All inclusive,4 099 zł,20.07-27.07.2025(8 dni)
ITAKA,"Grecja,Rodos",4,5.5,25.07 - 2.08.2025 (8 dni)Katowice 19:45All inclusive,4 149 zł,25.07-2.08.2025(8 dni)
ITAKA,Portugalia,0,5.1,17.07 - 24.07.2025 (8 dni)Katowice 07:45Wyżywienie zgodnie z programem,3 799 zł,17.07-24.07.2025(8 dni)
ITAKA,"Egipt,Marsa Alam",5,4.8,17.07 - 24.07.2025 (8 dni)Katowice 16:25All inclusive,2 599 zł,17.07-24.07.2025(8 dni)
ITAKA,Norwegia,0,5.5,30.08 - 6.09.2025 (8 dni)Świnoujście 19:45Wyżywienie zgodnie z programem,3 918 zł,30.08-6.09.2025(8 dni)
ITAKA,Włochy,0,4.8,21.07 - 25.07.2025 (5 dni)Warszawa-Okęcie 20:25Śniadania,2 249 zł,21.07-25.07.2025(5 dni)
ITAKA,"Włochy,Rzym",3,N/A,29.07 - 31.07.2025 (3 dni)Kraków 18:40Bez wyżywienia,2 479 zł,29.07-31.07.2025(3 dni)
ITAKA,"Wyspy Kanaryjskie,Lanzarote",4,5.2,16.07 - 23.07.2025 (8 dni)Katowice 08:30All inclusive,4 899 zł,16.07-23.07.2025(8 dni)
ITAKA,"Chorwacja,Istria",4,N/A,24.07 - 28.07.2025 (5 dni)Katowice 11:102 posiłki,3 609 zł,24.07-28.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",0,5.4,5.10 - 13.10.2025 (8 dni)Katowice 20:30All inclusive,4 399 zł,5.10-13.10.2025(8 dni)
ITAKA,"Węgry,Budapeszt",4,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,1 749 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,5.3,27.07 - 3.08.2025 (8 dni)Katowice 23:352 posiłki,5 199 zł,27.07-3.08.2025(8 dni)
ITAKA,"Węgry,Budapeszt",5,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,2 419 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,4.1,31.08 - 7.09.2025 (8 dni)Wrocław 11:15Śniadania,4 299 zł,31.08-7.09.2025(8 dni)
ITAKA,"Chorwacja,Istria",4,N/A,21.07 - 25.07.2025 (5 dni)Katowice 12:102 posiłki,4 489 zł,21.07-25.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Wrocław 11:152 posiłki,3 999 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,6 149 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.5,16.07 - 23.07.2025 (8 dni)Kraków 16:00All inclusive,4 799 zł,16.07-23.07.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,27.07 - 2.08.2025 (6 dni)Kraków 06:10Bez wyżywienia,7 009 zł,27.07-2.08.2025(6 dni)
ITAKA,"Hiszpania,Majorka",3,4.8,24.08 - 31.08.2025 (8 dni)Wrocław 11:15All inclusive,3 699 zł,24.08-31.08.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",3,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,6 539 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",3,5.1,31.08 - 7.09.2025 (8 dni)Gdańsk 09:35All inclusive,4 699 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",3,4.0,18.07 - 24.07.2025 (6 dni)Kraków 06:10Bez wyżywienia,6 249 zł,18.07-24.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",0,N/A,28.09 - 6.10.2025 (8 dni)Katowice 20:30Wyżywienie zgodnie z programem,4 299 zł,28.09-6.10.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",3,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,6 239 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",3,N/A,31.08 - 7.09.2025 (8 dni)Gdańsk 09:35Śniadania,4 299 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,5 279 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.0,20.07 - 27.07.2025 (8 dni)Wrocław 11:152 posiłki,3 899 zł,20.07-27.07.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,5 689 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,4.8,31.08 - 7.09.2025 (8 dni)Katowice 23:352 posiłki,3 799 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,1.08 - 7.08.2025 (6 dni)Wrocław 06:30Bez wyżywienia,8 669 zł,1.08-7.08.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.7,31.08 - 7.09.2025 (8 dni)Gdańsk 09:35Śniadania,5 499 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",4,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 06:20Bez wyżywienia,5 979 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Gdańsk 09:35Śniadania,5 399 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Nowy Jork",3,N/A,16.07 - 21.07.2025 (5 dni)Kraków 06:10Bez wyżywienia,5 749 zł,16.07-21.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,24.08 - 31.08.2025 (8 dni)Wrocław 11:15Śniadania,5 999 zł,24.08-31.08.2025(8 dni)
ITAKA,"Stany Zjednoczone,Nowy Jork",5,N/A,24.07 - 30.07.2025 (6 dni)Wrocław 14:45Bez wyżywienia,7 489 zł,24.07-30.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:252 posiłki,4 209 zł,27.08-3.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Nowy Jork",4,N/A,24.07 - 29.07.2025 (5 dni)Wrocław 14:45Bez wyżywienia,6 729 zł,24.07-29.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,4.6,31.08 - 7.09.2025 (8 dni)Warszawa-Okęcie 20:502 posiłki,5 999 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Los Angeles",4,N/A,22.07 - 29.07.2025 (7 dni)Szczecin 13:45Bez wyżywienia,10 379 zł,22.07-29.07.2025(7 dni)
ITAKA,"Hiszpania,Majorka",5,5.8,31.08 - 7.09.2025 (8 dni)Warszawa-Okęcie 20:502 posiłki,4 799 zł,31.08-7.09.2025(8 dni)
ITAKA,"Węgry,Budapeszt",3,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,1 599 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,10.08 - 18.08.2025 (8 dni)Warszawa-Okęcie 22:30Śniadania,6 499 zł,10.08-18.08.2025(8 dni)
ITAKA,"Węgry,Budapeszt",3,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,1 619 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Wrocław 11:15Śniadania,4 299 zł,31.08-7.09.2025(8 dni)
ITAKA,"Chorwacja,Istria",4,N/A,31.07 - 4.08.2025 (5 dni)Katowice 11:102 posiłki,3 229 zł,31.07-4.08.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Gdańsk 09:352 posiłki,5 999 zł,31.08-7.09.2025(8 dni)
ITAKA,"Węgry,Budapeszt",4,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,1 899 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,4.3,31.08 - 8.09.2025 (8 dni)Warszawa-Okęcie 22:30All inclusive,5 299 zł,31.08-8.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Floryda",3,N/A,27.07 - 5.08.2025 (9 dni)Poznań 06:25Bez wyżywienia,6 459 zł,27.07-5.08.2025(9 dni)
ITAKA,"Hiszpania,Majorka",5,4.9,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:25Śniadania,9 839 zł,27.08-3.09.2025(8 dni)
ITAKA,Bali,5,N/A,30.07 - 4.08.2025 (5 dni)Warszawa-Okęcie 09:30Śniadania,12 799 zł,30.07-4.08.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,5.4,31.08 - 7.09.2025 (8 dni)Poznań 03:302 posiłki,4 999 zł,31.08-7.09.2025(8 dni)
ITAKA,Sri Lanka,4,N/A,20.07 - 25.07.2025 (6 dni)Poznań 14:05Śniadania,5 899 zł,20.07-25.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,4.9,3.08 - 11.08.2025 (8 dni)Warszawa-Okęcie 22:30All inclusive soft,5 899 zł,3.08-11.08.2025(8 dni)
ITAKA,"Indie,Goa",5,N/A,22.07 - 27.07.2025 (6 dni)Warszawa-Okęcie 09:30Śniadania,4 649 zł,22.07-27.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",3,5.3,10.08 - 17.08.2025 (8 dni)Warszawa-Okęcie 20:502 posiłki,5 989 zł,10.08-17.08.2025(8 dni)
ITAKA,"Brazylia,Rio de Janeiro",4,N/A,25.07 - 31.07.2025 (6 dni)Berlin 09:05Śniadania,10 779 zł,25.07-31.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.2,16.07 - 23.07.2025 (8 dni)Kraków 16:00All inclusive ultra,4 999 zł,16.07-23.07.2025(8 dni)
ITAKA,"Włochy,Kampania",4,N/A,20.07 - 24.07.2025 (5 dni)Katowice 06:15Śniadania,3 879 zł,20.07-24.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,5.2,31.08 - 8.09.2025 (8 dni)Warszawa-Okęcie 22:30Śniadania,4 099 zł,31.08-8.09.2025(8 dni)
ITAKA,"Brazylia,Rio de Janeiro",3,N/A,22.07 - 28.07.2025 (6 dni)Berlin 09:50Śniadania,9 029 zł,22.07-28.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,3.7,3.08 - 10.08.2025 (8 dni)Gdańsk 09:35All inclusive,5 899 zł,3.08-10.08.2025(8 dni)
ITAKA,"Indie,Goa",4,N/A,22.07 - 27.07.2025 (6 dni)Warszawa-Okęcie 09:30Bez wyżywienia,4 479 zł,22.07-27.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Wrocław 11:152 posiłki,5 399 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Los Angeles",4,N/A,22.07 - 29.07.2025 (7 dni)Szczecin 13:45Bez wyżywienia,10 029 zł,22.07-29.07.2025(7 dni)
ITAKA,"Hiszpania,Majorka",4,5.4,24.08 - 31.08.2025 (8 dni)Wrocław 11:152 posiłki,5 099 zł,24.08-31.08.2025(8 dni)
ITAKA,"Indie,Goa",4,N/A,22.07 - 27.07.2025 (6 dni)Warszawa-Okęcie 09:30Śniadania,4 049 zł,22.07-27.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.0,31.08 - 7.09.2025 (8 dni)Gdańsk 09:35All inclusive,5 399 zł,31.08-7.09.2025(8 dni)
ITAKA,"Indie,Goa",4,N/A,22.07 - 27.07.2025 (6 dni)Warszawa-Okęcie 09:30Bez wyżywienia,4 429 zł,22.07-27.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",5,5.6,20.07 - 27.07.2025 (8 dni)Gdańsk 09:352 posiłki,4 499 zł,20.07-27.07.2025(8 dni)
ITAKA,"Maroko,Agadir",4,N/A,23.07 - 27.07.2025 (4 dni)Wrocław 21:15All inclusive,3 239 zł,23.07-27.07.2025(4 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Katowice 23:352 posiłki,5 099 zł,31.08-7.09.2025(8 dni)
ITAKA,"Irlandia,Dublin",4,N/A,31.07 - 2.08.2025 (3 dni)Berlin 06:55Bez wyżywienia,2 419 zł,31.07-2.08.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,4.8,16.07 - 23.07.2025 (8 dni)Kraków 16:002 posiłki,2 949 zł,16.07-23.07.2025(8 dni)
ITAKA,"Irlandia,Dublin",0,N/A,31.07 - 2.08.2025 (3 dni)Berlin 06:55Bez wyżywienia,2 389 zł,31.07-2.08.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:25Śniadania,6 789 zł,27.08-3.09.2025(8 dni)
ITAKA,"Chorwacja,Dalmacja",5,N/A,25.07 - 1.08.2025 (8 dni)Wrocław 13:15Śniadania,8 009 zł,25.07-1.08.2025(8 dni)
ITAKA,"Hiszpania,Majorka",4,5.2,31.08 - 7.09.2025 (8 dni)Gdańsk 09:352 posiłki,4 799 zł,31.08-7.09.2025(8 dni)
ITAKA,"Węgry,Budapeszt",4,N/A,28.07 - 30.07.2025 (3 dni)Gdańsk 19:25Śniadania,1 669 zł,28.07-30.07.2025(3 dni)
ITAKA,"Hiszpania,Majorka",4,5.4,27.07 - 3.08.2025 (8 dni)Gdańsk 09:35All inclusive,5 999 zł,27.07-3.08.2025(8 dni)
ITAKA,"Chorwacja,Istria",4,N/A,31.07 - 4.08.2025 (5 dni)Katowice 11:102 posiłki,3 139 zł,31.07-4.08.2025(5 dni)
ITAKA,"Hiszpania,Majorka",2,4.4,27.08 - 7.09.2025 (12 dni)Wrocław 12:002 posiłki,3 599 zł,27.08-7.09.2025(12 dni)
ITAKA,"Chorwacja,Istria",4,N/A,18.07 - 21.07.2025 (4 dni)Katowice 05:55Half board plus,4 649 zł,18.07-21.07.2025(4 dni)
ITAKA,"Hiszpania,Majorka",4,5.2,27.08 - 3.09.2025 (8 dni)Warszawa-Okęcie 07:252 posiłki,7 189 zł,27.08-3.09.2025(8 dni)
ITAKA,"Indie,Goa",4,N/A,22.07 - 27.07.2025 (6 dni)Warszawa-Okęcie 09:30Śniadania,4 209 zł,22.07-27.07.2025(6 dni)
ITAKA,"Hiszpania,Majorka",4,5.1,31.08 - 8.09.2025 (8 dni)Warszawa-Okęcie 22:302 posiłki,3 899 zł,31.08-8.09.2025(8 dni)
ITAKA,"Chiny,Pekin",5,N/A,18.07 - 22.07.2025 (5 dni)Warszawa-Okęcie 15:10Bez wyżywienia,6 639 zł,18.07-22.07.2025(5 dni)
ITAKA,"Hiszpania,Majorka",4,N/A,31.08 - 7.09.2025 (8 dni)Wrocław 11:15Śniadania,6 299 zł,31.08-7.09.2025(8 dni)
ITAKA,"Stany Zjednoczone,Los Angeles",3,N/A,22.07 - 29.07.2025 (7 dni)Szczecin 13:45Bez wyżywienia,7 539 zł,22.07-29.07.2025(7 dni)
